CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD,month,year
ET,80,2011-01,01,2011
NY,136,2011-01,01,2011
SC,159,2011-01,01,2011
TO,367,2011-01,01,2011
ET,109,2011-02,02,2011
NY,150,2011-02,02,2011
SC,154,2011-02,02,2011
TO,383,2011-02,02,2011
ET,177,2011-03,03,2011
NY,231,2011-03,03,2011
SC,213,2011-03,03,2011
TO,589,2011-03,03,2011
ET,178,2011-04,04,2011
NY,277,2011-04,04,2011
SC,261,2011-04,04,2011
TO,660,2011-04,04,2011
ET,263,2011-05,05,2011
NY,376,2011-05,05,2011
SC,375,2011-05,05,2011
TO,871,2011-05,05,2011
ET,255,2011-06,06,2011
NY,365,2011-06,06,2011
SC,334,2011-06,06,2011
TO,870,2011-06,06,2011
ET,238,2011-07,07,2011
NY,364,2011-07,07,2011
SC,352,2011-07,07,2011
TO,989,2011-07,07,2011
ET,257,2011-08,08,2011
NY,366,2011-08,08,2011
SC,345,2011-08,08,2011
TO,965,2011-08,08,2011
ET,152,2011-09,09,2011
NY,255,2011-09,09,2011
SC,276,2011-09,09,2011
TO,638,2011-09,09,2011
ET,126,2011-10,10,2011
NY,201,2011-10,10,2011
SC,218,2011-10,10,2011
TO,468,2011-10,10,2011
ET,103,2011-11,11,2011
NY,191,2011-11,11,2011
SC,182,2011-11,11,2011
TO,340,2011-11,11,2011
ET,109,2011-12,12,2011
NY,171,2011-12,12,2011
SC,149,2011-12,12,2011
TO,356,2011-12,12,2011
ET,115,2012-01,01,2012
NY,176,2012-01,01,2012
SC,171,2012-01,01,2012
TO,440,2012-01,01,2012
ET,134,2012-02,02,2012
NY,195,2012-02,02,2012
SC,160,2012-02,02,2012
TO,390,2012-02,02,2012
ET,183,2012-03,03,2012
NY,234,2012-03,03,2012
SC,243,2012-03,03,2012
TO,567,2012-03,03,2012
ET,194,2012-04,04,2012
NY,225,2012-04,04,2012
SC,252,2012-04,04,2012
TO,561,2012-04,04,2012
ET,217,2012-05,05,2012
NY,294,2012-05,05,2012
SC,332,2012-05,05,2012
TO,807,2012-05,05,2012
ET,262,2012-06,06,2012
NY,353,2012-06,06,2012
SC,340,2012-06,06,2012
TO,888,2012-06,06,2012
ET,269,2012-07,07,2012
NY,404,2012-07,07,2012
SC,371,2012-07,07,2012
TO,971,2012-07,07,2012
ET,251,2012-08,08,2012
NY,353,2012-08,08,2012
SC,346,2012-08,08,2012
TO,980,2012-08,08,2012
ET,132,2012-09,09,2012
NY,233,2012-09,09,2012
SC,215,2012-09,09,2012
TO,563,2012-09,09,2012
ET,156,2012-10,10,2012
NY,208,2012-10,10,2012
SC,215,2012-10,10,2012
TO,486,2012-10,10,2012
ET,85,2012-11,11,2012
NY,180,2012-11,11,2012
SC,170,2012-11,11,2012
TO,391,2012-11,11,2012
ET,99,2012-12,12,2012
NY,163,2012-12,12,2012
SC,158,2012-12,12,2012
TO,365,2012-12,12,2012
ET,91,2013-01,01,2013
NY,169,2013-01,01,2013
SC,138,2013-01,01,2013
TO,365,2013-01,01,2013
ET,90,2013-02,02,2013
NY,163,2013-02,02,2013
SC,126,2013-02,02,2013
TO,346,2013-02,02,2013
ET,130,2013-03,03,2013
NY,217,2013-03,03,2013
SC,188,2013-03,03,2013
TO,455,2013-03,03,2013
ET,177,2013-04,04,2013
NY,298,2013-04,04,2013
SC,219,2013-04,04,2013
TO,666,2013-04,04,2013
ET,223,2013-05,05,2013
NY,310,2013-05,05,2013
SC,300,2013-05,05,2013
TO,748,2013-05,05,2013
ET,212,2013-06,06,2013
NY,286,2013-06,06,2013
SC,303,2013-06,06,2013
TO,778,2013-06,06,2013
ET,258,2013-07,07,2013
NY,450,2013-07,07,2013
SC,319,2013-07,07,2013
TO,972,2013-07,07,2013
ET,244,2013-08,08,2013
NY,324,2013-08,08,2013
SC,322,2013-08,08,2013
TO,931,2013-08,08,2013
ET,157,2013-09,09,2013
NY,232,2013-09,09,2013
SC,233,2013-09,09,2013
TO,607,2013-09,09,2013
ET,121,2013-10,10,2013
NY,163,2013-10,10,2013
SC,208,2013-10,10,2013
TO,448,2013-10,10,2013
ET,92,2013-11,11,2013
NY,162,2013-11,11,2013
SC,140,2013-11,11,2013
TO,315,2013-11,11,2013
ET,89,2013-12,12,2013
NY,146,2013-12,12,2013
SC,130,2013-12,12,2013
TO,314,2013-12,12,2013
ET,85,2014-01,01,2014
NY,186,2014-01,01,2014
SC,139,2014-01,01,2014
TO,375,2014-01,01,2014
ET,93,2014-02,02,2014
NY,134,2014-02,02,2014
SC,126,2014-02,02,2014
TO,364,2014-02,02,2014
ET,151,2014-03,03,2014
NY,201,2014-03,03,2014
SC,180,2014-03,03,2014
TO,530,2014-03,03,2014
ET,151,2014-04,04,2014
NY,240,2014-04,04,2014
SC,229,2014-04,04,2014
TO,674,2014-04,04,2014
ET,219,2014-05,05,2014
NY,318,2014-05,05,2014
SC,298,2014-05,05,2014
TO,847,2014-05,05,2014
ET,240,2014-06,06,2014
NY,309,2014-06,06,2014
SC,315,2014-06,06,2014
TO,942,2014-06,06,2014
ET,252,2014-07,07,2014
NY,348,2014-07,07,2014
SC,338,2014-07,07,2014
TO,1024,2014-07,07,2014
ET,239,2014-08,08,2014
NY,351,2014-08,08,2014
SC,288,2014-08,08,2014
TO,967,2014-08,08,2014
ET,169,2014-09,09,2014
NY,228,2014-09,09,2014
SC,225,2014-09,09,2014
TO,658,2014-09,09,2014
ET,126,2014-10,10,2014
NY,180,2014-10,10,2014
SC,206,2014-10,10,2014
TO,489,2014-10,10,2014
ET,77,2014-11,11,2014
NY,138,2014-11,11,2014
SC,111,2014-11,11,2014
TO,347,2014-11,11,2014
ET,109,2014-12,12,2014
NY,162,2014-12,12,2014
SC,157,2014-12,12,2014
TO,357,2014-12,12,2014
ET,123,2015-01,01,2015
NY,140,2015-01,01,2015
SC,149,2015-01,01,2015
TO,327,2015-01,01,2015
ET,108,2015-02,02,2015
NY,159,2015-02,02,2015
SC,130,2015-02,02,2015
TO,333,2015-02,02,2015
ET,155,2015-03,03,2015
NY,224,2015-03,03,2015
SC,222,2015-03,03,2015
TO,559,2015-03,03,2015
ET,149,2015-04,04,2015
NY,273,2015-04,04,2015
SC,257,2015-04,04,2015
TO,665,2015-04,04,2015
ET,245,2015-05,05,2015
NY,307,2015-05,05,2015
SC,306,2015-05,05,2015
TO,805,2015-05,05,2015
ET,268,2015-06,06,2015
NY,386,2015-06,06,2015
SC,346,2015-06,06,2015
TO,927,2015-06,06,2015
ET,317,2015-07,07,2015
NY,387,2015-07,07,2015
SC,390,2015-07,07,2015
TO,1090,2015-07,07,2015
ET,264,2015-08,08,2015
NY,336,2015-08,08,2015
SC,325,2015-08,08,2015
TO,930,2015-08,08,2015
ET,174,2015-09,09,2015
NY,251,2015-09,09,2015
SC,253,2015-09,09,2015
TO,713,2015-09,09,2015
ET,135,2015-10,10,2015
NY,211,2015-10,10,2015
SC,186,2015-10,10,2015
TO,478,2015-10,10,2015
ET,91,2015-11,11,2015
NY,176,2015-11,11,2015
SC,149,2015-11,11,2015
TO,342,2015-11,11,2015
ET,104,2015-12,12,2015
NY,169,2015-12,12,2015
SC,144,2015-12,12,2015
TO,335,2015-12,12,2015
ET,92,2016-01,01,2016
NY,156,2016-01,01,2016
SC,131,2016-01,01,2016
TO,346,2016-01,01,2016
ET,123,2016-02,02,2016
NY,170,2016-02,02,2016
SC,173,2016-02,02,2016
TO,364,2016-02,02,2016
ET,155,2016-03,03,2016
NY,197,2016-03,03,2016
SC,204,2016-03,03,2016
TO,517,2016-03,03,2016
ET,197,2016-04,04,2016
NY,257,2016-04,04,2016
SC,246,2016-04,04,2016
TO,695,2016-04,04,2016
ET,247,2016-05,05,2016
NY,326,2016-05,05,2016
SC,306,2016-05,05,2016
TO,895,2016-05,05,2016
ET,255,2016-06,06,2016
NY,344,2016-06,06,2016
SC,341,2016-06,06,2016
TO,1071,2016-06,06,2016
ET,274,2016-07,07,2016
NY,384,2016-07,07,2016
SC,348,2016-07,07,2016
TO,1041,2016-07,07,2016
ET,296,2016-08,08,2016
NY,358,2016-08,08,2016
SC,333,2016-08,08,2016
TO,1072,2016-08,08,2016
ET,228,2016-09,09,2016
NY,265,2016-09,09,2016
SC,207,2016-09,09,2016
TO,656,2016-09,09,2016
ET,139,2016-10,10,2016
NY,187,2016-10,10,2016
SC,171,2016-10,10,2016
TO,489,2016-10,10,2016
ET,82,2016-11,11,2016
NY,148,2016-11,11,2016
SC,135,2016-11,11,2016
TO,388,2016-11,11,2016
ET,96,2016-12,12,2016
NY,164,2016-12,12,2016
SC,125,2016-12,12,2016
TO,362,2016-12,12,2016
ET,102,2017-01,01,2017
NY,146,2017-01,01,2017
SC,147,2017-01,01,2017
TO,347,2017-01,01,2017
ET,104,2017-02,02,2017
NY,170,2017-02,02,2017
SC,139,2017-02,02,2017
TO,357,2017-02,02,2017
ET,183,2017-03,03,2017
NY,237,2017-03,03,2017
SC,223,2017-03,03,2017
TO,608,2017-03,03,2017
ET,173,2017-04,04,2017
NY,276,2017-04,04,2017
SC,222,2017-04,04,2017
TO,627,2017-04,04,2017
ET,234,2017-05,05,2017
NY,323,2017-05,05,2017
SC,323,2017-05,05,2017
TO,894,2017-05,05,2017
ET,250,2017-06,06,2017
NY,350,2017-06,06,2017
SC,346,2017-06,06,2017
TO,943,2017-06,06,2017
ET,287,2017-07,07,2017
NY,367,2017-07,07,2017
SC,320,2017-07,07,2017
TO,971,2017-07,07,2017
ET,324,2017-08,08,2017
NY,344,2017-08,08,2017
SC,312,2017-08,08,2017
TO,1066,2017-08,08,2017
ET,207,2017-09,09,2017
NY,268,2017-09,09,2017
SC,233,2017-09,09,2017
TO,729,2017-09,09,2017
ET,144,2017-10,10,2017
NY,219,2017-10,10,2017
SC,194,2017-10,10,2017
TO,552,2017-10,10,2017
ET,98,2017-11,11,2017
NY,185,2017-11,11,2017
SC,160,2017-11,11,2017
TO,393,2017-11,11,2017
ET,114,2017-12,12,2017
NY,156,2017-12,12,2017
SC,132,2017-12,12,2017
TO,385,2017-12,12,2017
ET,128,2018-01,01,2018
NY,156,2018-01,01,2018
SC,156,2018-01,01,2018
TO,375,2018-01,01,2018
ET,145,2018-02,02,2018
NY,182,2018-02,02,2018
SC,149,2018-02,02,2018
TO,344,2018-02,02,2018
ET,177,2018-03,03,2018
NY,235,2018-03,03,2018
SC,187,2018-03,03,2018
TO,538,2018-03,03,2018
ET,188,2018-04,04,2018
NY,238,2018-04,04,2018
SC,239,2018-04,04,2018
TO,657,2018-04,04,2018
ET,229,2018-05,05,2018
NY,337,2018-05,05,2018
SC,302,2018-05,05,2018
TO,880,2018-05,05,2018
ET,279,2018-06,06,2018
NY,337,2018-06,06,2018
SC,338,2018-06,06,2018
TO,964,2018-06,06,2018
ET,324,2018-07,07,2018
NY,408,2018-07,07,2018
SC,347,2018-07,07,2018
TO,1090,2018-07,07,2018
ET,365,2018-08,08,2018
NY,323,2018-08,08,2018
SC,392,2018-08,08,2018
TO,1117,2018-08,08,2018
ET,209,2018-09,09,2018
NY,256,2018-09,09,2018
SC,216,2018-09,09,2018
TO,719,2018-09,09,2018
ET,187,2018-10,10,2018
NY,227,2018-10,10,2018
SC,186,2018-10,10,2018
TO,582,2018-10,10,2018
ET,140,2018-11,11,2018
NY,199,2018-11,11,2018
SC,169,2018-11,11,2018
TO,397,2018-11,11,2018
ET,108,2018-12,12,2018
NY,157,2018-12,12,2018
SC,123,2018-12,12,2018
TO,329,2018-12,12,2018
ET,123,2019-01,01,2019
NY,162,2019-01,01,2019
SC,151,2019-01,01,2019
TO,341,2019-01,01,2019
ET,143,2019-02,02,2019
NY,190,2019-02,02,2019
SC,158,2019-02,02,2019
TO,382,2019-02,02,2019
ET,170,2019-03,03,2019
NY,236,2019-03,03,2019
SC,240,2019-03,03,2019
TO,576,2019-03,03,2019
ET,193,2019-04,04,2019
NY,290,2019-04,04,2019
SC,237,2019-04,04,2019
TO,724,2019-04,04,2019
ET,235,2019-05,05,2019
NY,336,2019-05,05,2019
SC,285,2019-05,05,2019
TO,879,2019-05,05,2019
ET,242,2019-06,06,2019
NY,315,2019-06,06,2019
SC,280,2019-06,06,2019
TO,901,2019-06,06,2019
ET,308,2019-07,07,2019
NY,407,2019-07,07,2019
SC,323,2019-07,07,2019
TO,1079,2019-07,07,2019
ET,281,2019-08,08,2019
NY,384,2019-08,08,2019
SC,329,2019-08,08,2019
TO,1011,2019-08,08,2019
ET,220,2019-09,09,2019
NY,247,2019-09,09,2019
SC,221,2019-09,09,2019
TO,738,2019-09,09,2019
ET,150,2019-10,10,2019
NY,228,2019-10,10,2019
SC,172,2019-10,10,2019
TO,576,2019-10,10,2019
ET,120,2019-11,11,2019
NY,198,2019-11,11,2019
SC,156,2019-11,11,2019
TO,433,2019-11,11,2019
ET,122,2019-12,12,2019
NY,187,2019-12,12,2019
SC,153,2019-12,12,2019
TO,393,2019-12,12,2019
ET,130,2020-01,01,2020
NY,168,2020-01,01,2020
SC,171,2020-01,01,2020
TO,426,2020-01,01,2020
ET,130,2020-02,02,2020
NY,184,2020-02,02,2020
SC,160,2020-02,02,2020
TO,434,2020-02,02,2020
ET,101,2020-03,03,2020
NY,122,2020-03,03,2020
SC,99,2020-03,03,2020
TO,294,2020-03,03,2020
TO,47,2020-04,04,2020
TO,123,2020-05,05,2020
NY,167,2020-06,06,2020
SC,222,2020-06,06,2020
TO,248,2020-06,06,2020
NY,718,2020-07,07,2020
SC,782,2020-07,07,2020
NY,776,2020-08,08,2020
SC,637,2020-08,08,2020
NY,864,2020-09,09,2020
SC,569,2020-09,09,2020
NY,536,2020-10,10,2020
SC,581,2020-10,10,2020
NY,366,2020-11,11,2020
SC,320,2020-11,11,2020
NY,168,2020-12,12,2020
SC,200,2020-12,12,2020
NY,286,2021-01,01,2021
SC,78,2021-01,01,2021
NY,427,2021-02,02,2021
SC,108,2021-02,02,2021
NY,631,2021-03,03,2021
SC,285,2021-03,03,2021
ET,1,2021-04,04,2021
NY,560,2021-04,04,2021
SC,191,2021-04,04,2021
NY,518,2021-05,05,2021
SC,187,2021-05,05,2021
NY,677,2021-06,06,2021
SC,215,2021-06,06,2021
TO,3,2021-06,06,2021
NY,997,2021-07,07,2021
SC,375,2021-07,07,2021
NY,372,2021-08,08,2021
SC,266,2021-08,08,2021
TO,922,2021-08,08,2021
TO,1773,2021-09,09,2021
TO,1413,2021-10,10,2021
TO,783,2021-11,11,2021
TO,690,2021-12,12,2021
TO,472,2022-01,01,2022
